"Sygnatura czasowa","Identyfikator","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","Wiek","Plec"
"2019/11/06 10:51:55 AM CET","141","5","8","5","2","9","2","1","8","2","6","3","3","3","7","5","5","20 - 29","Mężczyzna"
"2019/11/06 10:52:04 AM CET","140","1","7","2","9","5","5","10","7","3","10","2","2","1","1","10","2","20 - 29","Mężczyzna"
"2019/11/06 10:52:09 AM CET","124","5","6","6","1","10","3","6","1","5","8","8","10","5","2","2","10","20 - 29","Mężczyzna"
"2019/11/06 10:52:31 AM CET","136","8","3","4","3","8","3","2","2","8","4","3","7","8","4","4","8","20 - 29","Mężczyzna"
"2019/11/06 10:52:40 AM CET","133","5","6","7","4","6","7","5","6","6","4","4","5","4","6","4","6","20 - 29","Kobieta"
"2019/11/06 10:53:44 AM CET","134","9","2","5","4","8","3","3","1","7","4","3","7","5","3","8","10","20 - 29","Kobieta"
"2019/11/06 10:54:04 AM CET","142","3","4","5","9","3","8","7","6","4","9","4","1","6","8","6","4","20 - 29","Kobieta"
"2019/11/06 10:56:15 AM CET","132","4","3","5","8","3","2","5","7","2","5","5","3","3","7","8","7","20 - 29","Kobieta"
"2019/11/06 1:46:33 PM CET","32","5","10","9","5","7","8","5","3","8","4","5","10","8","5","5","10","< 20","Kobieta"
"2019/11/06 1:47:04 PM CET","33","5","8","5","6","5","7","4","6","5","5","4","4","4","7","3","6","< 20","Kobieta"
"2019/11/06 1:47:08 PM CET","30","6","8","1","4","1","6","8","5","3","4","5","10","2","10","5","5","< 20","Mężczyzna"
"2019/11/06 1:47:10 PM CET","37","4","10","3","9","3","5","5","5","2","8","4","3","1","8","10","1","< 20","Mężczyzna"
"2019/11/06 1:48:06 PM CET","29","1","7","3","6","7","2","5","5","6","4","3","4","4","2","2","3","< 20","Mężczyzna"
"2019/11/06 1:48:22 PM CET","27","5","3","7","8","7","3","3","6","3","1","2","1","4","5","6","4","< 20","Kobieta"
"2019/11/06 1:48:34 PM CET","34","5","5","9","8","5","4","5","5","5","5","6","3","6","8","5","5","< 20","Kobieta"
"2019/11/06 1:48:43 PM CET","38","1","4","1","3","8","1","1","1","2","4","8","3","6","1","8","8","< 20","Kobieta"
"2019/11/06 1:48:45 PM CET","42","3","4","3","7","5","5","6","10","2","3","5","5","5","6","2","6","< 20","Mężczyzna"
